卷章名,領域,標題,勉勵,經文
13歷代志上第19章,品格,天父看見你被誤解之後仍選擇繼續行善,你是否曾因為善意被誤解，就決定以後不再輕易伸出援手？大衛的安慰使者被哈嫩羞辱，但大衛安慰了被侮辱的人，繼續應對局面。他沒有因誤解而收回善良。天父在你被誤解的時候看見你——那個被誤解的善心，祂都記念。繼續行善，不是因為別人一定會理解，而是因為你知道天父看見了。,我們都當剛強，為本國的民和神的城邑作大丈夫，願耶和華憑他的意旨而行。《歷代志上19:13》
13歷代志上第20章,信仰,天父在你身邊有看不見的勇士，一起承擔爭戰,你是否曾覺得自己在某個爭戰中只有孤軍奮戰，沒有人與你一起？大衛的爭戰有押尼珥、約押、掃羅的勇士——每一場都有忠心的人參與。「這三個人是迦特偉人的兒子，都死在大衛和他僕人的手下。」神不讓你獨自面對「偉人」，祂也在你身邊預備了一起爭戰的人。你今天的爭戰，天父也在旁邊。,這三個人是迦特偉人的兒子，都死在大衛和他僕人的手下。《歷代志上20:8》
13歷代志上第21章,悔改,天父的豐盛憐憫大過你所能受的最嚴厲管教,你是否曾因懼怕神的管教而不敢悔改，以為悔改只會讓情況更糟？大衛在必須選擇懲罰時說：「我願落在耶和華的手裏，因為他有豐盛的憐憫；我不願落在人的手裏。」神的管教是包在憐憫中的——比人更公義，也比人更充滿慈愛。天父的手是最可以信任的手，包括那雙管教你的手。,大衛對迦得說：我甚為難。我願落在耶和華的手裏，因為他有豐盛的憐憫；我不願落在人的手裏。《歷代志上21:13》
13歷代志上第22章,信仰,天父讓你在不能自己完成的事上仍能全力預備,你是否曾因「那不是我的事」而完全置身事外，沒有為下一代或下一個人盡力預備？大衛知道建殿是所羅門的使命，卻積極預備材料、委託人員、一一囑咐。「沒被允許完成」不等於「不需要參與」。天父把你放在某個使命的預備期，你的每一份準備工作，都是對那個更大使命的貢獻，不白費。,我兒啊，現今願耶和華與你同在，使你亨通……你當剛強壯膽去行！不要懼怕，也不要驚惶；因為耶和華神就是我的神，與你同在。《歷代志上22:11、13》
13歷代志上第23章,服事,天父讓日日的讚美成為你最持久的屬靈習慣,你是否曾讓讚美只發生在「特別的時刻」，而不是每一天的節律？利未人的職分包括：「每日早晚，站立稱謝讚美耶和華。」不是感覺對了才讚美，而是每日清晨和傍晚，按照節律來到神面前。天父設計讚美作為每日的節律，不只是因為祂值得，也是因為那個節律讓我們的心每天重新校準在祂身上。今天你有沒有早晚的讚美？,每日早晚，站立稱謝讚美耶和華。《歷代志上23:30》
13歷代志上第24章,服事,天父在祂的家中公平地為每個人安排服事的時機,你是否曾覺得在教會的事奉中，有些人「永遠輪不到」，或者「總是那幾個人在做」？大衛用拈籤的制度確保每個祭司家族都有公平的事奉機會——「各族的長者與兄弟沒有分別」。天父對祂的事奉群體是公平的，每個人都有自己的時機、自己的崗位。你的服事機會在祂的時間表裡，沒有被遺忘。,都掣籤分立，彼此一樣……各族的長者與兄弟沒有分別。《歷代志上24:5、31》
13歷代志上第25章,敬拜,天父呼召你以音樂和詩歌宣揚祂的真理,你是否曾以為音樂只是情感的表達，沒有更深的屬靈意義？大衛和首領「分派亞薩……唱歌說預言」，歌唱是「說預言」，音樂是宣告神話語的管道。「他們和他們的弟兄學習頌讚耶和華；善於歌唱的共有二百八十八人。」天父為讚美設立了學習的過程，說明敬拜值得認真預備、認真學習。你的讚美，是天父喜悅的宣告。,大衛和眾首領分派亞薩、希幔，並耶杜頓的子孫彈琴、鼓瑟、敲鈸、唱歌說預言。《歷代志上25:1》
13歷代志上第26章,服事,天父讓看守祂家的人承擔神聖而不可少的職分,你是否曾覺得某些服事工作太普通、太低調，不算真正的「服事」？守門者的職分在歷代志佔了一整章的篇幅——名字、班次、崗位，一一記錄。他們每日早晨開門，各方都有人守望。天父沒有分貴賤的服事，只有忠心與不忠心的人。那個每天默默在崗位上守望的人，在天父眼中有完整的紀錄。,在東西南北，四方都有守門的。《歷代志上26:14（節略）》
13歷代志上第27章,信仰,天父讓有秩序的群體能持久地服事祂,你是否曾覺得信仰不需要組織，只要有熱情就夠了？十二班輪值制度讓二萬四千人各盡其職，不讓任何一班承受過重的壓力，整年不中斷。良好的秩序讓服事可以持久，讓更多人可以參與，讓整個群體不因少數人的過勞而崩潰。天父是秩序的神，祂設計了有序的結構，讓事奉可以走得長遠。,以色列人的族長……都分定班次，每班是二萬四千人，週年按月輪流，替換出入服事王。《歷代志上27:1》
13歷代志上第28章,信仰,天父讓認識祂成為你服事最重要的起點,你是否曾在忙碌的服事中，發現自己越來越少花時間真正認識神本身？大衛對所羅門的第一囑咐不是「快去建殿」，而是「你當認識耶和華你父的神，誠心樂意地事奉他……你若尋求他，他必使你尋見」。認識神是一切服事的根基，離開了這個根基，所有的工程都是空的。天父渴望你認識祂——不只是知道關於祂的事，而是真實地認識祂。,我兒所羅門哪，你當認識耶和華你父的神，誠心樂意地事奉他；因為他鑒察眾人的心，知道一切心思意念。《歷代志上28:9》
13歷代志上第29章,奉獻,天父讓你把從祂而得的歸還給祂，這是最真實的奉獻,你是否曾在奉獻時有一種「我在給神」的感覺，覺得自己很偉大？大衛在眾人奉獻之後禱告說：「萬物都從你而來，我們把從你而得的獻給你……我們在你面前是客旅，是寄居的。」你所給出的，本來就是祂給你的；你所有的，都是被暫時託管的。天父不需要你的東西，祂只是在邀請你承認：一切都是祂的，而你是快樂的管家。,萬物都從你而來，我們把從你而得的獻給你……我們在你面前是客旅，是寄居的，與我們列祖一樣。《歷代志上29:14-15》
14歷代志下第01章,信仰,天父賜下智慧回應你的需要,你是否面對一個超過自己能力的任務，心裡充滿不安？所羅門剛登基，面對龐大的責任，他沒有先求財富或權力，而是求智慧，因為他在乎的是「如何服事這群人」。天父被這個動機感動了，不但賜他智慧，還把他沒求的也一併賜給。天父看重的不是你的能力，而是你的動機。今天，當你帶著「為了服事他人」的心來到神面前，你會發現，祂所給的，往往超過你所想所求的。,你既有這心意……只求智慧聰明好判斷我的民；我必賜你智慧聰明，也必賜你資財、豐富、尊榮。《歷代志下1:11-12》
14歷代志下第02章,服事,天父看顧你的事奉心意,你是否曾問過自己：我為神所做的事，真的有意義嗎？所羅門在動工之前就清楚地說：「神不需要我的建殿，天和天上的天都不夠祂住，何況我造的殿？」然而他仍然全力投入，因為這是他在神面前的敬拜回應。天父不需要你做得完美，祂看重的是你那顆願意回應祂的心。無論你的服事看起來多麼微小，那都是你在神面前的「燒香」，祂必珍視。,天和天上的天，尚且不足他居住的，誰能為他建造殿宇呢？……不過在他面前燒香而已。《歷代志下2:6》
14歷代志下第03章,信仰,天父紀念你每一個信靠的腳蹤,你是否知道，神的工作從不是偶然開始的？聖殿建在摩利亞山，那是亞伯拉罕獻以撒的地方，是大衛求赦免的地方。神揀選這個地方，是要讓每一個走進聖殿的人，都能想起：這裡有一段信靠與被接納的歷史。天父同樣紀念你每一個信靠祂的時刻，每一次你選擇相信祂的應許。這些不會消失，它們都成為你與神之間故事的一部分。,所羅門就在耶路撒冷、耶和華向他父大衛顯現的摩利亞山上……開工建造耶和華的殿。《歷代志下3:1》
14歷代志下第04章,服事,天父看重你在祂面前的預備,你是否認為，正式事奉神之前的「準備工作」不那麼重要？聖殿裡的銅海，是專門為祭司在事奉前潔淨自己所設的。神精心設計了這個環節，提醒我們：帶著潔淨的心事奉，比帶著熱情但不潔的心更蒙悅納。天父看重你在事奉前的預備——那靜下來禱告的片刻、那願意對齊心靈的選擇。不要輕看預備，因為天父在其中等候你。,又製造十個盆……獻燔祭所用之物都洗在其內；但海是為祭司沐浴的。《歷代志下4:6》
14歷代志下第05章,敬拜,天父回應你合一的讚美,你是否曾在敬拜中感受到一種超越言語的同在？聖殿奉獻那天，吹號的和歌唱的「聲合為一」，神的榮光就充滿了殿，連祭司都無法站立。那不是偶然的，那是合一的讚美所帶出的結果。天父渴望在你的讚美中相遇。當你願意放下自我、與身邊的弟兄姊妹合一敬拜，那份祂的同在就近在咫尺。今天，讓你的心再次對準那一句：「他的慈愛永遠長存！」,應當稱謝耶和華；因他本為善，他的慈愛永遠長存！《歷代志下5:13》
14歷代志下第06章,禱告,天父垂聽你在任何處境中的呼求,你是否有時覺得，自己的處境太特殊、太複雜，神可能不明白？所羅門的禱告涵蓋了七種截然不同的困境——從個人糾紛到戰敗被擄，甚至外邦人的禱告。神一一垂聽。天父不是只在「標準情況」下才聆聽的神，祂在你一切的處境中都張開耳朵。無論你現在正在經歷什麼，你都可以在神面前誠實地說出來。祂垂聽，也必回應。,論到不屬你民以色列的外邦人……從遠方而來，向這殿禱告，求你從天上你的居所垂聽，照著外邦人所祈求的而行。《歷代志下6:32-33》
14歷代志下第07章,悔改,天父等候你自卑回轉的心,你是否曾在某段低谷中，感到與神之間似乎有了距離？神在這裡給了一條清晰的路：「自卑、禱告、尋求我的面、轉離惡行。」不是四個複雜的條件，而是四個方向，告訴我們如何重新走回到神的懷抱。天父不是在遠處等你表現完美，祂在等你轉身。只要你願意低下頭、開口求，祂的應許是真實的：「我必從天上垂聽，赦免他們的罪，醫治他們的地。」,這稱為我名下的子民，若是自卑、禱告，尋求我的面，轉離他們的惡行，我必從天上垂聽，赦免他們的罪，醫治他們的地。《歷代志下7:14》
14歷代志下第08章,品格,天父看顧你對神聖事物的尊重,你是否有過一種感受：某些事「在原則上可以」，但心裡總覺得哪裡不對？所羅門安排法老之女的住處，理由很簡單：「約櫃所到之處都為聖地。」他不是因為律法規定，而是出於內心對神聖潔的自發尊重。天父看重這樣的心——那些不是被規定逼出來、而是因為愛神而自然湧現的界線與尊重。在你的生活中，也有這樣的時刻，讓那份對神的敬畏引導你。,所羅門說：「耶和華約櫃所到之處都為聖地，所以我的妻不可住在以色列王大衛的宮裏。」《歷代志下8:11》
14歷代志下第09章,見證,天父賜給你的榮耀是最有力的見證,你是否曾懷疑，自己的信仰是否真的能讓外人看見神的真實？示巴女王帶著懷疑從遠方而來，親眼見了所羅門的智慧與榮耀，最後開口讚美的不是所羅門，而是他的神：「耶和華你的神是應當稱頌的！」真實活在神面前的生命，本身就是最有力的見證。天父透過你所蒙的恩、所活出的生命，讓身旁的人看見祂。你不需要刻意說服任何人，只需要真實地活。,耶和華你的神是應當稱頌的！他喜悅你，使你坐他的國位，為耶和華你的神作王。《歷代志下9:8》
14歷代志下第10章,領袖,天父不喜悅你用權威傷害你的家人,你是否曾以為，擁有權力或資源就代表可以不顧他人感受？羅波安有十八萬大軍、有王位、有資源，但他忽視了最基本的事：百姓需要的是一個願意聆聽、願意服事他們的王。他選擇了展示力量，結果失去了十個支派。天父呼召我們的領袖職分，是服事，不是主宰。無論在家庭、職場，你對身邊的人說的話、回應的方式，都在塑造你們之間的關係。,老年人對他說：「王若恩待這民，使他們喜悅，用好話回覆他們，他們就永遠作王的僕人。」《歷代志下10:7》
14歷代志下第11章,信仰,天父看顧你在壓力中的順服,你是否曾站在一個「明明可以出手」卻感到神說「不」的時刻？羅波安握有十八萬精兵，正要出戰，卻因神的一句「這事出於我」而收手回家。這需要比出戰更大的勇氣。天父有時候的帶領，是讓你放下你手中的力量。接受神的「不」，是信心最深刻的表達。等候中的那段時間，是預備，不是浪費。,耶和華的話臨到神人示瑪雅說……你們不可上去與你們的弟兄爭戰，各歸各家去吧！因為這事出於我。眾人就聽從耶和華的話歸回。《歷代志下11:2-4》
14歷代志下第12章,品格,天父等候你在強盛中仍記念祂,你是否發現，自己往往在最順遂的時候，反而最容易忘記神？羅波安不是在苦難中離棄律法，而是「強盛的時候」就走偏了。這是人心最危險的時刻。然而當先知責備他，他立刻承認「耶和華是公義的」，神也立即收手。天父不要求你完美，但祂渴望你在豐盛時仍記念祂。今天，讓我們在一切順遂中，停下來說一句：「這一切，都因祢的恩典。」,於是王和以色列的眾首領都自卑說：「耶和華是公義的。」……他們既自卑，我必不滅絕他們。《歷代志下12:6-7》
14歷代志下第13章,信仰,天父在你呼求的那一刻出手,你是否曾陷入前後夾攻、毫無出路的處境？猶大軍被敵兵包圍，人的眼光看來已無路可走，但他們做了一件事：「呼求耶和華，祭司也吹號。」就在那一刻，神出手了。天父等候的，就是你那個呼求的時刻。不是等你把問題解決了才來感謝祂，而是在最無力的時刻，仰起臉對祂說：「我需要你。」那一聲呼求，能翻轉一切。,猶大人回頭觀看，見前後都有敵兵，就呼求耶和華，祭司也吹號。於是猶大人吶喊；猶大人吶喊的時候，神就使以色列眾人敗在亞比雅與猶大人面前。《歷代志下13:14-15》
14歷代志下第14章,禱告,天父聽見你在軟弱中的呼求,你是否曾面對一個遠比你強大的對手，不知如何開口禱告？亞撒的禱告沒有豪言壯語，只有誠實：「惟有你能幫助軟弱的，勝過強盛的……我們仰賴你。」這是最真實、也最有力的禱告。天父不是等你說出漂亮的句子才垂聽，祂等的是你真誠承認自己的不足，轉眼仰望祂。今天你的軟弱，正是天父施展大能的起點。,亞撒呼求耶和華他的神說：「耶和華啊，惟有你能幫助軟弱的，勝過強盛的……求你幫助我們；因為我們仰賴你，奉你的名來攻擊這大軍。」《歷代志下14:11》
14歷代志下第15章,信仰,天父保證你尋找就必尋見,你是否有時感到與神的距離很遠，不確定祂是否仍然垂聽？先知的話給了一個清晰的應許：「你們若尋求他，就必尋見；你們若離棄他，他必離棄你們。」這是一個雙向的真理，但也是一個充滿盼望的邀請。天父不是躲起來不讓人找到的神。只要你願意轉身，認真地尋求，祂就在那裡。今天，再往前踏一步，你會尋見。,你們若尋求他，就必尋見；你們若離棄他，他必離棄你們。《歷代志下15:2》
14歷代志下第16章,信仰,天父渴望你在每個關口都仰賴祂,你是否曾在壓力下，不自覺地先找人脈、先找資源，把禱告留在最後？亞撒年輕時靠神得大勝，年老時卻用聖殿的財寶去買外交盟友。先知說：「你這事行得愚昧。」那句話不是責備他尋求幫助，而是指出他忘了那位曾幫他以少勝多的神。天父的眼目遍察全地，要幫助那向祂心存誠實的人。你的每一個關口，祂都在等你先轉向祂。,耶和華的眼目遍察全地，要顯大能幫助向他心存誠實的人。《歷代志下16:9》
14歷代志下第17章,品格,天父看顧你尋求祂的每一天,你是否曾覺得，信仰的成果太慢、太不明顯？約沙法的強盛沒有任何戲劇性的大事件，記錄只有一句話：「他尋求神，神就使他亨通。」就這樣，日積月累。天父的賜福往往不是一次性的大爆發，而是在你每天尋求祂、每天順服祂的積累中，悄悄地流入你的生命。今天的尋求，是明天豐盛的種子。,耶和華與約沙法同在；因為他行他祖大衛初行的道，不尋求巴力，只尋求他父親的神，遵行他的誡命。《歷代志下17:3-4》
14歷代志下第18章,信仰,天父在你的錯誤中仍不放棄你,你是否曾因為自己做了錯誤的決定，而擔心神已經不再與你同在？約沙法因為與惡王結盟，被捲入危及生命的戰場。但就在最危急的時刻，「他一呼喊，耶和華就幫助他」。神沒有因為他之前的錯誤而袖手旁觀。天父的恩典比我們的過失更大。即使是因自己的判斷失誤而陷入的困境，只要你開口呼求，祂的手仍然伸出來。,約沙法一呼喊，耶和華就幫助他，神又感動他們離開他。《歷代志下18:31》
14歷代志下第19章,品格,天父看顧你在崗位上公義的每個決定,你是否覺得，自己在職場或生活中所做的判斷，只是普通的日常事務？約沙法告訴審判官：「你們判斷不是為人，乃是為耶和華。」這句話把每一個世俗的決定，都提升到屬靈的高度。天父看顧你在崗位上的每一個選擇——那個說真話的時刻、那個堅持公正的決定、那個選擇不說謊的瞬間。這些不是小事，是你在神面前的事奉。,對他們說：「你們辦事應當謹慎；因為你們判斷不是為人，乃是為耶和華。判斷的時候，他必與你們同在。」《歷代志下19:6》
14歷代志下第20章,禱告,天父聽見你誠實承認無力的禱告,你是否曾站在一個巨大的困境前，不知道該怎麼辦？約沙法的禱告中有一句最有力的話：「我們也不知道怎樣行，我們的眼目單仰望你。」他沒有假裝自己有計畫，也沒有在神面前掩蓋自己的無知。就是這份誠實，打開了神超然的回應。天父不是要你帶著答案來找祂，而是帶著你的無知、你的恐懼、你的「不知道」來到祂面前。那才是真正的信靠。,我們的神啊……我們無力抵擋這來攻擊我們的大軍，我們也不知道怎樣行，我們的眼目單仰望你。《歷代志下20:12》
14歷代志下第21章,婚姻,天父看顧你的生命留下美好的記念,你是否曾想過，你的一生將留下什麼？約蘭王死後，聖經記下一句令人心寒的話：「去世，無人思慕。」他有王位、有財富，卻因離棄神、傷害百姓，最後無人惦記。但神仍因祂與大衛的約，保存了那一線的盼望。天父看重的，不是你擁有多少，而是你的生命是否真實地觸動過身旁的人。今天你的選擇，正在塑造你將留下的記念。,耶和華卻因自己與大衛所立的約，不肯滅大衛的家，照他所應許的，永遠賜燈光與大衛和他的子孫。《歷代志下21:7》
14歷代志下第22章,信仰,天父在黑暗中保守你的盼望不熄滅,你是否曾處於一個看似「應許快要斷絕」的時刻？亞他利雅的政變幾乎剷除了大衛家的所有後裔，那六年，從人的眼光看，神的應許似乎已經破滅。但有一個人——約示巴——悄悄地把嬰兒藏起來。神的應許從未真正斷絕，祂在最黑暗的時刻，透過一個普通人的一個行動，保全了那一線的盼望。今天你所面對的黑暗，也不是故事的終點。,但王的女兒約示巴將亞哈謝的兒子約阿施從那被殺的王子中偷出來，把他和他的乳母都藏在臥房裏……免得被殺。《歷代志下22:11》
14歷代志下第23章,信仰,天父的應許必在適當時候成就,你是否曾在漫長的等候中，開始懷疑神的應許是否真的會實現？約阿施被藏在聖殿整整六年，等候那個應許成就的時刻。耶何耶大沒有急躁，而是在神的時間裡，以周密的計劃、同心的群體，讓那個應許在一天之內成為現實。天父的應許不會忘記，也不會遲延太久。你所等候的，正在神的計劃中預備著。繼續信靠，繼續持守。,耶何耶大對他們說：「看哪，王的兒子必當作王，正如耶和華指著大衛子孫所應許的話」。《歷代志下23:3》
14歷代志下第24章,信仰,天父盼望你建立真實的與祂的關係,你的信仰，是否需要靠某個人的存在才能維持？約阿施在耶何耶大活著時行善，一旦那位導師離世，他立刻走偏。這是一個讓人警醒的提醒：真正的信仰不能只是跟著有力量的人走，而必須是你自己與神之間真實的連結。天父渴望的，不是你跟隨別人的信仰，而是你自己認識祂、愛祂。今天，讓你與神的關係，是你自己的，不借別人。,耶何耶大年紀老邁，日子滿足而死……因為他在以色列人中行善，又事奉神，修理神的殿。《歷代志下24:15-16》
14歷代志下第25章,財務,天父的供應勝過你所損失的,你是否曾面臨一個選擇：順服神，但代價是具體的損失？亞瑪謝花了百他連得雇用的傭兵，神卻說「打發他們回去」。當他猶豫時，神人說了一句簡單的話：「耶和華能把更多的賜給你。」天父不會讓你因順服而落空。你所損失的，在祂眼中都有補償。今天，若你因順服神而需要放棄某些看得見的利益，請記住這句話：耶和華能把更多的賜給你。,神人回答說：「耶和華能把更多的賜給你。」《歷代志下25:9》
14歷代志下第26章,品格,天父不喜悅你在強盛中越過自己的界線,你是否曾在事業或服事蒸蒸日上的時候，漸漸覺得自己無所不能？烏西雅是一個成功的王，然而聖經說：「他既強盛，就心高氣傲，以致行事邪僻。」他的跌倒不是在失敗中，而是在最輝煌的時刻。天父給每個人都有其位置與界線，不是限制，而是保護。強盛的時候，更需要謙卑。在你最成功的時刻，仍俯伏在神面前，是最難、也最寶貴的功課。,他既強盛，就心高氣傲，以致行事邪僻，干犯耶和華他的神，進耶和華的殿，要在香壇上燒香。《歷代志下26:16》
14歷代志下第27章,品格,天父看見你從前人失敗中學習的心,你是否曾因為看見別人的失敗而感到警醒，並刻意地選擇不走同一條路？約坦的可貴之處，在於他知道父親烏西雅是在哪裡跌倒的，並且選擇不重蹈覆轍。這需要謙卑和自知。天父看重這樣的學習——不是模仿成功的外表，而是認清危險的陷阱並遠離它。你身邊是否也有前人的失敗，可以成為你的提醒？,約坦在耶和華他神面前行正道，以致日漸強盛。《歷代志下27:6》
14歷代志下第28章,信仰,天父盼望你在急難中轉向祂而不是遠離,你是否曾在壓力最大的時候，反而做出最糟糕的決定？亞哈斯王在「急難的時候越發得罪耶和華」，苦難把他推得更遠，而不是更近。但同一章裡，有一群以色列人在見到苦難時，選擇了憐憫——給被擄的人穿衣、餵食、用膏抹。苦難是一面鏡子，照出我們內心真實的方向。天父盼望，在你最難的時刻，你仍選擇轉向祂，而不是逃離。,以上提名的那些人就站起，使被擄的人前來……給他們穿，又給他們喫喝，用膏抹他們……《歷代志下28:15》
14歷代志下第29章,信仰,天父等待你主動開門迎接祂,你是否覺得與神的關係疏遠了，卻不知從何開始恢復？希西家做的第一件事，是「開了耶和華殿的門」。那是一個主動的、刻意的行動，宣告：「我要讓神重新進入我們的生活。」屬靈的復興往往從一個「開門」的決定開始——重新打開聖經、重新開始禱告、重新走回信仰群體。天父就在門的另一邊等候。你願意先伸手，開那扇門嗎？,元年正月，開了耶和華殿的門，重新修理。《歷代志下29:3》
14歷代志下第30章,信仰,天父看重你尋求祂的心超過儀式的完整,你是否曾因為「準備不夠充分」而不敢來到神面前？逾越節時，許多人來不及按禮儀潔淨自己，希西家為他們禱告，神說：「凡專心尋求神……我必饒恕他。」天父看重的是你那顆真誠尋求的心，遠超過禮儀的完整。你不需要「狀態夠好」才能來到神面前。帶著真實的渴慕，哪怕準備不足，祂都歡迎你。,凡專心尋求神……雖不照著聖所潔淨之禮自潔，求至善的耶和華也饒恕他。耶和華垂聽希西家的禱告，就饒恕百姓。《歷代志下30:18-20》
14歷代志下第31章,奉獻,天父看顧你慷慨給予的心,你是否曾猶豫，奉獻之後自己夠不夠用？百姓歡歡喜喜地帶來十分之一，堆積如山，大祭司驚訝地說：「自從民將供物送到耶和華殿以來，我們不但喫飽，且剩下的甚多；因為耶和華賜福與他的民。」慷慨的奉獻不是虧損，而是開門讓神的祝福流進來。天父從不虧待那個甘心給予的人。今天，讓你的慷慨成為信心的行動。,撒督家的大祭司亞撒利雅回答說：「自從民將供物送到耶和華殿以來，我們不但喫飽，且剩下的甚多；因為耶和華賜福與他的民。」《歷代志下31:10》
14歷代志下第32章,信仰,天父與你同在使你不必恐懼,你是否正面對一個讓你恐懼的挑戰，覺得對方比你強大太多？希西家在亞述大軍壓境時，告訴百姓一句話：「與我們同在的，比與他們同在的更大。與他們同在的是肉臂，與我們同在的是耶和華我們的神。」這不是天真的樂觀，而是有根基的信心宣告。天父就是那位「更大的」。今天，讓這個真實取代你的恐懼：神在你這邊，祂比一切更大。,你們當剛強壯膽，不要因亞述王和跟隨他的大軍恐懼、驚慌；因為與我們同在的，比與他們同在的更大。《歷代志下32:7-8》
14歷代志下第33章,悔改,天父的恩典向最深的罪人也敞開,你是否曾覺得自己走得太遠，神可能不會再接納你？瑪拿西是聖經中惡行記錄最多的王，然而當他「在急難中極其自卑，懇求耶和華」，神「允准他的祈求」。這不是說惡行無關緊要，而是說悔改的門對最遠走的人仍然敞開。天父的恩典，沒有超越它的罪。無論你曾走多遠，只要你願意真心回轉，祂的接納就是真實的。,他在急難的時候，就懇求耶和華他的神，且在他列祖的神面前極其自卑……耶和華就允准他的祈求……瑪拿西這纔知道惟獨耶和華是神。《歷代志下33:12-13》
14歷代志下第34章,信仰,天父回應你在年輕時就尋求祂的心,你是否曾以為，認真信仰是年紀大了才需要的事？約西亞八歲登基，十六歲就開始「尋求神」，那是一個青少年主動的個人決定，遠在任何公開改革之前。天父看見那個安靜、個人的尋求，並在其後成就了整個國家的屬靈更新。無論你現在多年輕，你今天對神的尋求都是真實而有分量的。不要等到「以後再說」，神就在今天等你。,你便心裏敬服，在我面前自卑，撕裂衣服，向我哭泣，因此我應允了你。這是我耶和華說的。《歷代志下34:27》
14歷代志下第35章,服事,天父看顧你慷慨服事所激勵的生命,你是否曾想過，你的慷慨可以成為別人信心的催化劑？約西亞從自己的產業拿出大量祭物賜給百姓，眾首領見了，也隨即效法。一個人的慷慨和委身，往往能引發整個群體的跟隨。天父看顧你每一個甘心給出的行動，那不只是你個人的獻上，更可能成為身旁的人邁出信仰腳步的起點。你的慷慨，比你所知道的，影響更深遠。,約西亞從群畜中賜給在那裏所有的人民，綿羊羔和山羊羔三萬隻，牛三千隻，作逾越節的祭物；這都是出自王的產業中。《歷代志下35:7》
14歷代志下第36章,信仰,天父的愛從早到晚從不放棄你,你是否知道，即使在你最遠離神的時候，祂仍然沒有放棄你？歷代志下最後記錄了一個令人動容的細節：「耶和華因為愛惜自己的民……從早起來差遣使者去警戒他們。」不是一次，而是一次又一次地早起，差遣提醒。這是一位不肯放棄的天父的形象。即使在最黑暗的時期之後，神仍興起古列，開啟歸回的路。祂從沒有停止愛你，祂的愛是從早到晚、從不停息的。,耶和華他們列祖的神因為愛惜自己的民和他的居所，從早起來差遣使者去警戒他們。《歷代志下36:15》
15以斯拉記第01章,信仰,天父的應許必然應驗，歷史在祂的掌管中,你是否曾等待神的應許那麼久，以至於開始懷疑那個應許是否還算數？以色列人被擄七十年，那正好就是耶利米預言的年數——「為要應驗藉耶利米口所說的話，就激動波斯王古列的心。」七十年，一年不多也不少。天父說的話有它自己的時間表，不是你能催促也不是環境能攔阻的。你今天所等待的應許，也在祂精確的計畫中。,耶和華為要應驗藉耶利米口所說的話，就激動波斯王古列的心，使他下詔通告全國。《以斯拉記1:1》
15以斯拉記第02章,信仰,天父記念每一個回應呼召的人的名字,你是否曾在龐大的歷史洪流中覺得自己只是一個號碼？這一章密密麻麻的人名和數字，是神對每一個從巴比倫歸回者的記念——每一個名字、每一個家族，都在神的冊子上。祂不是以群體的方式模糊地愛你，而是精確地認識你的名字、你的家族、你所在的地方。天父今天也把你的名字記在祂面前，清清楚楚。,從被擄之地歸回的以色列人……各歸本城。《以斯拉記2:1》
15以斯拉記第03章,敬拜,天父配得你在任何環境下都優先以敬拜回應祂,你是否曾因環境不安全或條件不成熟，而把敬拜神的事往後延？歸回的百姓還沒有建好殿，環境充滿威脅，但他們先「在原有的根基上築壇」，恢復每日獻祭——「因懼怕鄰國的民」，他們更主動地親近神。天父配得你在環境最困難時仍選擇優先敬拜祂。條件從未完美，但祂永遠值得第一個回應。,他們在原有的根基上築壇，因懼怕鄰國的民，又在其上向耶和華早晚獻燔祭。《以斯拉記3:3》
15以斯拉記第04章,信仰,天父讓你在事奉中面對的阻擋不是終止，而是延遲,你是否曾在神所呼召的工程中遭遇強烈的反對，懷疑自己是否走錯了路？建殿的工程被攔阻了整整十幾年，停在那裡。那個停工期不是神放棄了，而是在神的時間表裡——直到大利烏王的時代，大門重新打開。天父讓工程停頓，但從未取消工程本身。你今天所停頓的那個呼召，也許只是在等待神的時機。,於是，在耶路撒冷神殿的工程就停止了，直停到波斯王大利烏第二年。《以斯拉記4:24》
15以斯拉記第05章,信仰,天父在你疲乏停滯時差遣聲音重新點燃你,你是否曾在某個呼召上已經停了很久，心志漸漸冷卻，以為自己已經沒有力氣再繼續了？停工十幾年的以色列人，因著先知哈該和撒迦利亞所說的話重新燃起，「都起來動手建造耶路撒冷神的殿」。是話語讓他們動起來。天父現在也透過祂的話語對你說話，那聲音今天仍然能點燃已經熄滅的委身。,先知哈該和撒迦利亞奉以色列神的名向猶大人說勸勉的話。於是所羅巴伯和耶書亞都起來動手建造耶路撒冷神的殿。《以斯拉記5:1-2》
15以斯拉記第06章,敬拜,天父能翻轉局勢，讓昔日的阻擋者成為供應者,你是否曾在事奉的道路上面對一個看起來堅不可破的阻力，以為那個局面絕不可能逆轉？試圖攔阻建殿的總督們，最後變成了奉命供應建材的人——費用從王室國庫撥出。「耶和華使他們歡喜，又使亞述王的心轉向他們。」天父不需要阻力消失才能讓工程繼續，祂能讓阻力本身變成助力。,因為耶和華使他們歡喜，又使亞述王的心轉向他們，堅固他們的手，作以色列神殿的工程。《以斯拉記6:22》
